Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Highway,Clear,9.0,Dry,Dusk/Dawn,102.1,Medium,Car,35,4,No,Yes,Night,Monday,Rural,Straight,Roundabout,No,No,No,No,39.5,1
Urban Road,Rainy,1.9,Dry,Dark - Unlit,47.5,Low,Motorcycle,35,9,No,Yes,Afternoon,Tuesday,Urban,Straight,Crossroad,No,No,No,No,25.4,0
Rural Road,Windy,4.3,Wet,Dark - Unlit,84.1,Medium,Car,29,5,No,Yes,Morning,Saturday,Rural,Sharp Curve,Crossroad,Yes,No,Yes,No,35.1,0
Highway,Windy,8.4,Dry,Dark - Lit,142.2,Low,Truck,35,15,No,Yes,Night,Monday,Rural,Straight,No Junction,Yes,No,No,No,-7.7,1
Rural Road,Rainy,0.4,Dry,Dusk/Dawn,32.0,High,Bus,49,30,No,Yes,Evening,Wednesday,Rural,Straight,T-Junction,No,No,No,No,16.1,0
Highway,Clear,1.3,Dry,Daylight,24.3,Low,Car,59,22,Yes,Yes,Morning,Saturday,Urban,Straight,T-Junction,No,No,No,No,7.9,0
Rural Road,Clear,9.9,Dry,Dusk/Dawn,104.9,Medium,Car,53,29,No,Yes,Afternoon,Monday,Urban,Straight,T-Junction,No,No,No,No,-1.2,0
Urban Road,Clear,2.9,Dry,Daylight,66.3,Medium,Car,69,39,No,Yes,Morning,Sunday,Rural,Straight,T-Junction,Yes,No,No,No,43.6,0
Urban Road,Rainy,9.8,Dry,Dark - Lit,78.5,Low,Motorcycle,36,19,No,Yes,Afternoon,Thursday,Urban,Sharp Curve,T-Junction,No,Yes,Yes,No,27.9,1
Highway,Clear,2.0,Wet,Dark - Lit,76.8,High,Truck,73,24,No,Yes,Afternoon,Tuesday,Urban,Straight,T-Junction,Yes,No,No,No,7.0,0
Residential,Windy,3.7,Wet,Dark - Lit,32.1,Low,Truck,21,34,No,No,Afternoon,Saturday,Rural,Slight Curve,Roundabout,Yes,Yes,Yes,No,13.7,0
Rural Road,Clear,7.6,Wet,Dark - Lit,20.5,Low,Car,73,4,Yes,No,Night,Wednesday,Urban,Straight,No Junction,No,Yes,No,Yes,18.4,1
Residential,Clear,6.6,Icy,Daylight,145.8,Medium,Bus,28,2,No,Yes,Morning,Tuesday,Urban,Straight,Roundabout,Yes,No,No,No,-9.2,1
Residential,Clear,5.9,Dry,Dark - Unlit,50.5,High,Bus,20,33,No,No,Evening,Saturday,Urban,Straight,Crossroad,Yes,Yes,No,Yes,32.6,0
Residential,Snowy,5.4,Icy,Daylight,79.7,High,Car,44,11,No,Yes,Night,Monday,Urban,Straight,No Junction,No,No,No,Yes,34.4,1
Urban Road,Foggy,8.5,Dry,Dark - Lit,156.1,High,Motorcycle,64,26,No,Yes,Evening,Wednesday,Urban,Straight,No Junction,Yes,Yes,No,No,29.9,1
Highway,Rainy,2.5,Dry,Dark - Unlit,135.7,High,Bus,33,4,No,Yes,Evening,Tuesday,Urban,Straight,Crossroad,Yes,Yes,No,No,10.7,1
Highway,Clear,4.5,Dry,Dusk/Dawn,35.1,Low,Truck,61,21,No,Yes,Morning,Monday,Urban,Straight,T-Junction,No,No,No,No,-4.5,0
Urban Road,Snowy,1.7,Dry,Daylight,91.2,High,Bus,35,3,No,Yes,Night,Saturday,Urban,Straight,T-Junction,Yes,No,No,No,-9.7,0
Urban Road,Clear,6.0,Muddy,Dusk/Dawn,122.2,High,Bus,47,27,Yes,Yes,Morning,Monday,Rural,Straight,Crossroad,Yes,No,Yes,No,14.0,1
Highway,Windy,2.7,Dry,Dark - Lit,117.8,High,Car,41,6,No,Yes,Night,Saturday,Urban,Straight,Roundabout,Yes,Yes,No,No,42.2,1
Residential,Rainy,3.5,Dry,Dusk/Dawn,126.5,Medium,Bus,23,33,No,No,Night,Tuesday,Rural,Straight,Roundabout,No,No,No,No,15.6,1
Rural Road,Clear,4.8,Dry,Dark - Unlit,84.0,Medium,Car,64,1,No,Yes,Morning,Saturday,Rural,Straight,No Junction,No,No,No,Yes,39.4,0
Rural Road,Rainy,0.5,Dry,Dark - Unlit,44.6,Medium,Truck,51,8,No,No,Night,Tuesday,Urban,Straight,Roundabout,Yes,Yes,No,No,22.7,1
Rural Road,Foggy,1.1,Dry,Dark - Unlit,85.1,High,Bus,72,14,No,Yes,Morning,Tuesday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,24.2,0
Residential,Clear,6.9,Dry,Daylight,110.7,Low,Car,29,30,No,Yes,Afternoon,Wednesday,Rural,Straight,Roundabout,No,No,No,No,34.1,0
Highway,Windy,4.4,Dry,Dusk/Dawn,105.2,Low,Car,59,35,No,No,Afternoon,Wednesday,Rural,Sharp Curve,Crossroad,Yes,Yes,No,No,5.8,0
Urban Road,Clear,8.7,Icy,Dusk/Dawn,29.9,Medium,Truck,40,14,No,No,Evening,Thursday,Rural,Straight,No Junction,No,Yes,No,No,19.1,0
Highway,Clear,7.0,Dry,Dusk/Dawn,29.1,Medium,Bus,53,32,No,Yes,Morning,Wednesday,Urban,Straight,Crossroad,Yes,No,No,No,-5.0,0
Residential,Clear,0.3,Dry,Dark - Lit,155.1,High,Motorcycle,57,30,No,Yes,Evening,Monday,Rural,Slight Curve,Roundabout,No,No,Yes,No,42.5,1
Urban Road,Clear,6.2,Wet,Daylight,41.3,Medium,Bus,32,26,Yes,Yes,Night,Wednesday,Rural,Straight,Crossroad,No,Yes,No,No,44.7,1
Residential,Rainy,1.1,Muddy,Daylight,61.2,Medium,Car,68,1,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,No,No,No,No,21.4,1
Rural Road,Clear,7.9,Dry,Dusk/Dawn,127.5,Medium,Car,33,8,No,Yes,Morning,Tuesday,Urban,Straight,T-Junction,No,No,No,No,40.7,0
Rural Road,Foggy,9.9,Dry,Daylight,77.4,Medium,Truck,62,0,No,Yes,Evening,Wednesday,Rural,Straight,No Junction,Yes,Yes,No,No,35.9,0
Residential,Clear,5.4,Muddy,Dusk/Dawn,45.4,Low,Truck,74,18,Yes,Yes,Night,Monday,Urban,Slight Curve,Roundabout,Yes,Yes,No,No,18.9,0
Urban Road,Windy,6.9,Dry,Dusk/Dawn,85.4,High,Motorcycle,64,8,No,Yes,Night,Thursday,Urban,Straight,Roundabout,No,Yes,No,Yes,24.1,1
Urban Road,Rainy,2.5,Dry,Dusk/Dawn,99.7,Low,Motorcycle,31,1,No,Yes,Morning,Tuesday,Urban,Straight,No Junction,No,Yes,No,No,30.1,1
Highway,Snowy,4.5,Dry,Dark - Unlit,83.4,Medium,Car,32,36,Yes,No,Night,Friday,Rural,Straight,T-Junction,Yes,No,No,No,8.2,1
Rural Road,Clear,8.6,Muddy,Dark - Lit,148.7,High,Motorcycle,29,0,No,No,Evening,Thursday,Urban,Straight,T-Junction,Yes,Yes,Yes,No,7.0,1
Highway,Clear,1.8,Muddy,Daylight,59.9,High,Motorcycle,60,11,No,Yes,Morning,Saturday,Rural,Slight Curve,T-Junction,Yes,Yes,Yes,No,35.6,0
Highway,Clear,2.8,Icy,Dark - Lit,112.6,Low,Motorcycle,70,25,No,Yes,Evening,Friday,Urban,Sharp Curve,No Junction,Yes,Yes,No,No,0.4,1
Residential,Rainy,4.6,Dry,Dark - Unlit,35.7,Low,Bus,52,9,No,Yes,Morning,Friday,Urban,Straight,Roundabout,Yes,No,Yes,No,3.0,0
Residential,Windy,7.2,Dry,Daylight,74.9,Medium,Bus,42,0,No,Yes,Evening,Friday,Urban,Straight,Roundabout,No,No,Yes,No,22.6,0
Highway,Clear,3.9,Dry,Dusk/Dawn,123.7,Low,Car,31,0,No,Yes,Night,Tuesday,Rural,Straight,Roundabout,Yes,No,Yes,Yes,11.9,1
Rural Road,Clear,9.3,Icy,Dark - Lit,51.5,Medium,Bus,19,30,No,Yes,Afternoon,Tuesday,Urban,Straight,Crossroad,Yes,No,No,No,-2.8,0
Residential,Windy,1.1,Muddy,Dark - Unlit,102.6,Medium,Motorcycle,35,10,No,Yes,Night,Sunday,Rural,Straight,Roundabout,No,Yes,No,No,44.1,1
Highway,Clear,3.8,Dry,Daylight,41.5,Medium,Motorcycle,52,4,No,Yes,Night,Friday,Rural,Straight,T-Junction,Yes,No,Yes,No,16.0,0
Highway,Foggy,7.1,Wet,Daylight,34.4,High,Motorcycle,26,34,No,Yes,Evening,Friday,Urban,Sharp Curve,Crossroad,No,No,Yes,No,44.9,1
Highway,Rainy,2.4,Dry,Dark - Lit,93.3,High,Bus,28,10,No,Yes,Evening,Thursday,Urban,Straight,No Junction,Yes,No,Yes,No,14.8,0
Highway,Snowy,6.6,Dry,Dark - Lit,114.5,Low,Truck,43,3,No,Yes,Afternoon,Tuesday,Urban,Sharp Curve,T-Junction,Yes,No,Yes,No,33.2,1
Highway,Clear,1.8,Wet,Daylight,35.9,Low,Motorcycle,20,37,No,No,Afternoon,Friday,Urban,Slight Curve,No Junction,No,No,Yes,No,28.7,0
Highway,Clear,0.7,Dry,Daylight,148.5,High,Motorcycle,22,38,No,Yes,Evening,Monday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,7.9,1
Residential,Rainy,1.4,Dry,Dark - Unlit,51.6,Low,Truck,49,20,No,Yes,Night,Saturday,Rural,Slight Curve,Crossroad,Yes,No,No,No,-5.4,0
Rural Road,Windy,9.3,Dry,Dusk/Dawn,36.8,Medium,Truck,58,35,No,Yes,Morning,Tuesday,Rural,Straight,No Junction,Yes,Yes,No,No,-1.7,0
Highway,Clear,5.6,Icy,Dusk/Dawn,48.4,Medium,Car,27,27,No,Yes,Afternoon,Tuesday,Rural,Straight,T-Junction,Yes,No,Yes,No,-7.9,0
Urban Road,Clear,8.0,Icy,Dark - Unlit,43.7,High,Car,55,7,No,Yes,Night,Saturday,Rural,Straight,T-Junction,No,Yes,Yes,No,26.1,1
Residential,Rainy,3.5,Muddy,Daylight,32.7,Low,Bus,23,19,No,Yes,Morning,Saturday,Urban,Straight,No Junction,Yes,Yes,No,No,-6.4,0
Residential,Windy,6.0,Wet,Dark - Lit,131.7,Low,Truck,28,20,Yes,Yes,Night,Saturday,Urban,Slight Curve,Roundabout,No,No,No,No,6.3,1
Highway,Snowy,5.1,Dry,Dark - Lit,89.4,High,Car,34,34,Yes,Yes,Afternoon,Monday,Rural,Sharp Curve,Crossroad,No,No,No,No,-3.7,1
Residential,Windy,9.5,Dry,Daylight,74.4,Medium,Motorcycle,19,31,No,No,Evening,Saturday,Urban,Sharp Curve,Roundabout,Yes,No,No,Yes,22.1,0
Highway,Clear,7.5,Muddy,Dark - Unlit,153.1,Medium,Car,58,35,Yes,Yes,Evening,Sunday,Rural,Straight,Roundabout,No,No,No,No,28.6,1
Rural Road,Clear,7.4,Wet,Daylight,71.9,Low,Motorcycle,41,4,No,Yes,Afternoon,Friday,Urban,Straight,Roundabout,Yes,Yes,Yes,No,14.5,0
Rural Road,Rainy,0.7,Wet,Dark - Lit,43.4,High,Motorcycle,67,3,No,No,Evening,Wednesday,Urban,Straight,No Junction,No,No,No,No,42.7,0
Residential,Snowy,5.6,Wet,Daylight,58.4,High,Motorcycle,22,6,No,Yes,Morning,Tuesday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,4.8,0
Residential,Clear,4.8,Icy,Daylight,53.5,Medium,Bus,38,33,No,No,Night,Saturday,Rural,Slight Curve,No Junction,Yes,No,Yes,Yes,44.6,0
Urban Road,Clear,9.3,Dry,Dark - Unlit,89.8,Medium,Truck,23,19,No,Yes,Evening,Friday,Urban,Straight,T-Junction,No,No,No,No,22.2,0
Residential,Snowy,2.7,Dry,Dusk/Dawn,60.8,Low,Bus,21,6,No,Yes,Evening,Saturday,Rural,Straight,T-Junction,Yes,No,No,No,37.3,0
Urban Road,Clear,2.8,Wet,Dark - Lit,92.2,High,Car,26,23,Yes,Yes,Evening,Monday,Urban,Straight,T-Junction,No,Yes,No,No,-3.4,1
Rural Road,Clear,4.2,Icy,Dark - Lit,113.7,Low,Car,22,20,No,Yes,Afternoon,Monday,Rural,Slight Curve,No Junction,Yes,No,No,No,44.1,1
Rural Road,Rainy,2.6,Wet,Daylight,128.8,Low,Truck,21,8,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,Yes,Yes,No,No,31.5,1
Highway,Rainy,1.5,Dry,Dark - Lit,119.4,High,Truck,26,18,No,Yes,Evening,Monday,Rural,Sharp Curve,Crossroad,Yes,No,No,No,22.7,1
Rural Road,Foggy,8.6,Dry,Dark - Lit,48.8,High,Car,35,19,No,Yes,Afternoon,Monday,Urban,Straight,Roundabout,No,No,Yes,No,-9.7,0
Urban Road,Clear,5.7,Wet,Dusk/Dawn,36.2,Medium,Truck,60,27,No,No,Night,Friday,Rural,Sharp Curve,No Junction,No,No,No,No,-9.8,0
Residential,Rainy,8.6,Wet,Dark - Lit,95.9,High,Truck,33,31,No,Yes,Morning,Saturday,Urban,Straight,No Junction,Yes,No,No,No,-0.7,0
Highway,Rainy,8.3,Wet,Dark - Lit,47.8,Low,Motorcycle,19,33,No,Yes,Night,Monday,Rural,Straight,Roundabout,No,No,No,No,12.4,0
Urban Road,Rainy,3.0,Dry,Dark - Unlit,31.9,Low,Bus,46,15,No,No,Night,Wednesday,Rural,Straight,Crossroad,Yes,No,No,No,6.3,0
Residential,Rainy,5.6,Muddy,Dark - Unlit,93.8,High,Bus,65,37,No,Yes,Morning,Friday,Urban,Straight,Roundabout,No,No,No,No,36.7,0
Highway,Clear,1.0,Wet,Dark - Unlit,65.8,Low,Bus,68,16,No,Yes,Morning,Friday,Rural,Slight Curve,Roundabout,No,No,Yes,No,31.3,1
Rural Road,Clear,9.2,Wet,Dark - Unlit,125.9,High,Motorcycle,59,10,No,No,Night,Tuesday,Urban,Straight,T-Junction,Yes,No,No,No,39.1,1
Urban Road,Clear,4.2,Dry,Dark - Unlit,64.0,Medium,Motorcycle,53,3,No,Yes,Morning,Friday,Rural,Straight,T-Junction,No,No,No,No,10.6,0
Residential,Clear,4.1,Dry,Dusk/Dawn,157.0,Medium,Truck,29,39,Yes,No,Night,Tuesday,Rural,Straight,Roundabout,Yes,No,No,No,33.3,1
Highway,Rainy,3.2,Icy,Dark - Lit,126.2,High,Truck,58,39,No,Yes,Evening,Monday,Rural,Straight,Crossroad,Yes,Yes,Yes,No,36.4,1
Highway,Snowy,4.7,Dry,Daylight,28.1,Low,Motorcycle,62,17,No,Yes,Afternoon,Thursday,Rural,Straight,Crossroad,No,No,No,No,44.8,0
Rural Road,Foggy,2.7,Dry,Dusk/Dawn,91.2,High,Motorcycle,54,5,Yes,No,Morning,Wednesday,Rural,Straight,Crossroad,Yes,Yes,No,No,32.7,1
Residential,Snowy,3.9,Dry,Daylight,98.8,High,Car,51,31,Yes,Yes,Evening,Saturday,Urban,Slight Curve,No Junction,No,Yes,No,No,37.2,1
Rural Road,Clear,8.0,Wet,Dark - Unlit,117.3,Medium,Motorcycle,52,4,No,Yes,Morning,Wednesday,Rural,Straight,T-Junction,No,No,No,Yes,6.7,1
Rural Road,Clear,8.4,Dry,Dark - Lit,89.7,High,Motorcycle,57,14,No,Yes,Afternoon,Monday,Urban,Straight,Crossroad,No,No,No,No,26.8,0
Residential,Clear,3.2,Dry,Dark - Unlit,87.7,Medium,Bus,23,15,No,Yes,Afternoon,Sunday,Urban,Straight,No Junction,No,Yes,No,No,26.4,0
Residential,Clear,4.8,Muddy,Dusk/Dawn,71.5,Medium,Car,54,16,No,Yes,Afternoon,Thursday,Urban,Straight,Roundabout,No,Yes,No,No,22.1,0
Residential,Clear,8.8,Wet,Daylight,58.0,High,Bus,53,36,No,Yes,Morning,Friday,Rural,Straight,Roundabout,No,Yes,No,No,43.0,0
Urban Road,Rainy,0.7,Dry,Dark - Lit,152.5,High,Bus,37,14,No,Yes,Night,Thursday,Urban,Straight,Roundabout,Yes,No,No,No,13.0,1
Residential,Windy,8.9,Dry,Dusk/Dawn,64.5,High,Car,33,34,No,Yes,Morning,Friday,Urban,Straight,T-Junction,No,No,No,No,37.7,0
Highway,Clear,2.3,Muddy,Dusk/Dawn,28.9,High,Car,25,7,No,Yes,Morning,Friday,Rural,Straight,No Junction,Yes,No,Yes,Yes,-6.9,0
Rural Road,Clear,6.8,Dry,Dark - Lit,43.4,Medium,Car,61,34,No,Yes,Evening,Friday,Rural,Slight Curve,Roundabout,No,No,No,No,12.5,0
Urban Road,Snowy,5.9,Wet,Dark - Lit,140.0,High,Truck,39,35,No,Yes,Evening,Thursday,Rural,Sharp Curve,Crossroad,No,Yes,No,No,-6.0,1
Residential,Clear,5.6,Dry,Dusk/Dawn,102.1,Medium,Car,22,26,No,Yes,Night,Monday,Rural,Sharp Curve,Crossroad,Yes,No,Yes,No,22.7,0
Urban Road,Snowy,8.6,Icy,Daylight,129.0,Medium,Bus,22,13,No,Yes,Afternoon,Friday,Urban,Straight,Crossroad,Yes,No,No,No,22.6,1
Residential,Foggy,1.2,Wet,Daylight,133.2,Low,Car,71,22,No,Yes,Afternoon,Saturday,Rural,Straight,Crossroad,Yes,No,No,Yes,9.1,1
Urban Road,Windy,3.6,Wet,Dusk/Dawn,135.3,Medium,Truck,62,19,No,Yes,Morning,Monday,Urban,Straight,Roundabout,No,No,No,Yes,39.8,0
Rural Road,Clear,5.5,Dry,Dusk/Dawn,97.1,Low,Bus,28,5,Yes,No,Afternoon,Friday,Urban,Straight,Crossroad,No,Yes,No,No,-1.1,1
Rural Road,Foggy,8.2,Icy,Dark - Unlit,44.8,High,Car,60,23,Yes,Yes,Night,Monday,Rural,Straight,Crossroad,No,No,No,Yes,15.5,1
Highway,Rainy,2.3,Dry,Dark - Unlit,40.8,Low,Car,36,22,No,No,Afternoon,Sunday,Rural,Straight,Roundabout,No,Yes,No,No,22.5,1
Highway,Rainy,8.1,Muddy,Daylight,100.4,High,Bus,56,35,No,Yes,Evening,Sunday,Rural,Sharp Curve,No Junction,Yes,No,No,No,0.9,1
Residential,Clear,4.1,Dry,Dark - Unlit,71.3,Medium,Bus,34,11,No,Yes,Afternoon,Saturday,Urban,Slight Curve,Roundabout,Yes,Yes,Yes,No,35.1,0
Rural Road,Clear,2.1,Wet,Daylight,98.1,Low,Car,54,1,Yes,Yes,Morning,Sunday,Rural,Straight,T-Junction,No,Yes,No,No,15.1,1
Urban Road,Rainy,7.6,Dry,Dark - Lit,89.8,High,Truck,55,26,No,Yes,Evening,Saturday,Rural,Straight,T-Junction,Yes,Yes,No,No,18.8,0
Urban Road,Rainy,1.1,Wet,Dark - Unlit,104.3,High,Bus,35,31,No,Yes,Night,Monday,Rural,Straight,Roundabout,No,No,No,Yes,12.4,1
Urban Road,Snowy,5.2,Dry,Daylight,24.5,Low,Motorcycle,67,28,No,Yes,Morning,Monday,Rural,Straight,T-Junction,No,Yes,No,No,23.3,0
Highway,Foggy,0.8,Dry,Daylight,24.6,Low,Car,26,39,No,Yes,Morning,Tuesday,Urban,Sharp Curve,No Junction,No,No,No,No,34.8,0
Urban Road,Foggy,3.7,Dry,Dusk/Dawn,121.0,High,Bus,67,39,Yes,Yes,Evening,Saturday,Urban,Straight,No Junction,No,No,Yes,No,8.4,1
Highway,Clear,6.1,Dry,Daylight,47.0,High,Bus,68,32,No,No,Morning,Saturday,Rural,Straight,Crossroad,Yes,No,No,Yes,6.7,0
Highway,Foggy,5.6,Dry,Dark - Unlit,111.3,Medium,Car,34,28,No,Yes,Afternoon,Thursday,Rural,Straight,T-Junction,Yes,No,No,No,40.2,1
Residential,Rainy,4.2,Dry,Dusk/Dawn,96.5,High,Car,58,32,No,Yes,Afternoon,Friday,Rural,Slight Curve,No Junction,Yes,No,No,No,45.0,0
Urban Road,Windy,4.4,Icy,Dusk/Dawn,157.5,Low,Car,50,35,Yes,No,Evening,Sunday,Rural,Sharp Curve,No Junction,No,No,No,No,2.5,1
Urban Road,Windy,2.4,Dry,Dark - Unlit,137.0,High,Truck,37,16,No,No,Afternoon,Friday,Urban,Slight Curve,T-Junction,No,No,No,No,1.9,1
Rural Road,Clear,4.7,Wet,Dark - Lit,77.8,High,Motorcycle,72,9,No,Yes,Morning,Tuesday,Rural,Straight,Roundabout,No,No,Yes,No,-1.9,0
Residential,Snowy,9.5,Dry,Dark - Unlit,106.3,Low,Bus,35,0,No,No,Evening,Monday,Rural,Straight,No Junction,Yes,Yes,No,Yes,6.1,0
Rural Road,Clear,8.5,Wet,Dark - Unlit,36.4,Medium,Car,41,16,No,Yes,Evening,Monday,Rural,Straight,Crossroad,No,Yes,No,No,17.3,0
Residential,Clear,1.6,Dry,Dusk/Dawn,74.1,High,Car,30,27,No,Yes,Night,Friday,Urban,Straight,T-Junction,No,No,No,No,-9.7,1
Urban Road,Rainy,0.5,Muddy,Dark - Unlit,122.7,Low,Truck,57,37,No,No,Morning,Sunday,Urban,Straight,Crossroad,No,No,Yes,No,3.3,1
Highway,Clear,9.3,Icy,Dark - Lit,107.2,Low,Motorcycle,45,35,No,Yes,Morning,Wednesday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,37.2,0
Highway,Foggy,5.4,Dry,Dark - Lit,87.8,Low,Bus,63,26,No,Yes,Night,Friday,Rural,Straight,No Junction,No,No,No,No,-3.2,1
Highway,Clear,5.5,Wet,Dark - Lit,44.7,Low,Motorcycle,20,36,Yes,Yes,Night,Friday,Urban,Sharp Curve,No Junction,No,No,No,No,36.1,1
Highway,Clear,7.9,Dry,Dusk/Dawn,132.4,Medium,Motorcycle,53,24,No,Yes,Morning,Tuesday,Rural,Slight Curve,T-Junction,No,No,No,No,20.8,0
Highway,Rainy,3.3,Wet,Dark - Unlit,58.2,Low,Car,28,33,No,Yes,Night,Monday,Rural,Slight Curve,No Junction,No,No,No,No,4.6,1
Rural Road,Foggy,4.9,Dry,Daylight,134.9,High,Car,56,2,No,Yes,Evening,Thursday,Rural,Straight,Roundabout,Yes,No,No,Yes,15.1,1
Residential,Windy,9.7,Dry,Dark - Unlit,105.6,Medium,Car,38,28,No,Yes,Evening,Sunday,Rural,Straight,T-Junction,Yes,No,No,Yes,-0.6,0
Urban Road,Foggy,6.8,Dry,Dark - Lit,72.2,Low,Truck,54,34,Yes,Yes,Morning,Sunday,Urban,Sharp Curve,Roundabout,Yes,Yes,No,Yes,22.8,1
Rural Road,Foggy,1.7,Wet,Dark - Unlit,25.7,High,Truck,19,9,Yes,No,Evening,Friday,Urban,Slight Curve,No Junction,Yes,No,No,No,-5.5,1
Residential,Clear,1.5,Dry,Dusk/Dawn,52.5,Medium,Truck,23,37,No,Yes,Morning,Sunday,Urban,Straight,Crossroad,No,No,No,No,23.6,0
Highway,Clear,2.2,Wet,Dark - Unlit,144.5,High,Car,69,37,No,Yes,Night,Sunday,Rural,Straight,Crossroad,No,Yes,No,No,16.1,1
Residential,Clear,7.7,Dry,Dusk/Dawn,134.5,Medium,Car,22,0,Yes,Yes,Afternoon,Sunday,Urban,Slight Curve,T-Junction,No,No,Yes,Yes,-9.9,1
Residential,Rainy,3.1,Dry,Daylight,100.5,Low,Car,64,0,No,Yes,Evening,Friday,Urban,Straight,No Junction,Yes,Yes,Yes,No,41.1,1
Highway,Foggy,0.4,Wet,Daylight,85.3,High,Motorcycle,60,31,Yes,No,Evening,Thursday,Urban,Straight,T-Junction,Yes,No,Yes,No,-8.4,1
Highway,Clear,9.5,Icy,Dusk/Dawn,110.6,Low,Truck,49,21,No,No,Night,Tuesday,Urban,Straight,No Junction,No,Yes,No,No,36.9,1
Highway,Foggy,1.9,Muddy,Dark - Unlit,85.3,Medium,Truck,54,18,No,Yes,Evening,Wednesday,Urban,Straight,Roundabout,Yes,No,No,No,4.0,0
Urban Road,Rainy,0.3,Wet,Dark - Lit,110.2,Low,Motorcycle,67,34,No,Yes,Morning,Tuesday,Urban,Slight Curve,Roundabout,Yes,No,No,No,44.0,0
Highway,Clear,2.5,Wet,Dusk/Dawn,63.0,Low,Bus,57,5,No,Yes,Evening,Friday,Urban,Straight,T-Junction,Yes,Yes,No,No,45.0,0
Urban Road,Clear,2.5,Wet,Dark - Unlit,137.4,High,Motorcycle,28,33,No,Yes,Night,Tuesday,Rural,Slight Curve,Roundabout,No,No,No,Yes,2.8,1
Highway,Snowy,4.3,Dry,Dark - Unlit,118.3,Low,Motorcycle,34,14,No,Yes,Morning,Saturday,Rural,Straight,Crossroad,No,No,No,No,3.9,1
Urban Road,Foggy,9.2,Dry,Dark - Unlit,66.2,Low,Car,31,2,Yes,No,Evening,Thursday,Urban,Slight Curve,T-Junction,Yes,Yes,Yes,No,36.6,1
Residential,Windy,8.8,Dry,Dark - Lit,136.3,Low,Bus,19,36,No,Yes,Evening,Tuesday,Rural,Sharp Curve,Roundabout,Yes,No,No,No,-2.3,1
Rural Road,Clear,4.7,Dry,Dark - Lit,88.2,Medium,Motorcycle,56,21,No,Yes,Evening,Friday,Urban,Straight,No Junction,Yes,No,No,No,-9.8,0
Residential,Windy,4.2,Dry,Dark - Lit,44.4,High,Bus,72,28,No,Yes,Evening,Thursday,Rural,Slight Curve,T-Junction,No,No,No,No,24.6,0
Residential,Clear,5.6,Muddy,Dusk/Dawn,30.9,High,Bus,35,13,No,Yes,Afternoon,Thursday,Urban,Straight,Crossroad,No,Yes,Yes,No,5.0,0
Highway,Clear,2.6,Dry,Dusk/Dawn,117.9,Low,Car,50,29,No,Yes,Afternoon,Friday,Urban,Sharp Curve,No Junction,Yes,No,Yes,No,10.3,1
Urban Road,Windy,0.7,Wet,Dark - Lit,141.1,High,Bus,47,14,No,Yes,Night,Friday,Urban,Straight,Crossroad,Yes,No,No,No,14.6,1
Rural Road,Clear,9.4,Wet,Dusk/Dawn,133.0,Medium,Car,32,28,No,Yes,Afternoon,Friday,Rural,Straight,No Junction,No,No,No,No,4.6,0
Highway,Foggy,2.0,Dry,Dark - Lit,111.8,Medium,Truck,46,13,No,Yes,Night,Wednesday,Rural,Straight,No Junction,No,No,No,No,-3.5,1
Highway,Clear,2.1,Dry,Dusk/Dawn,39.8,Low,Motorcycle,43,2,No,Yes,Morning,Friday,Urban,Straight,Crossroad,No,No,No,No,28.9,0
Highway,Rainy,4.8,Dry,Dark - Unlit,33.2,Low,Car,18,21,No,Yes,Afternoon,Tuesday,Rural,Straight,No Junction,Yes,No,No,No,17.1,0
Residential,Windy,5.0,Wet,Dark - Lit,68.3,Medium,Car,34,32,No,Yes,Morning,Saturday,Urban,Straight,T-Junction,Yes,Yes,No,Yes,32.3,0
Urban Road,Clear,0.4,Muddy,Dusk/Dawn,139.7,Medium,Motorcycle,71,22,No,No,Afternoon,Monday,Rural,Straight,Roundabout,No,Yes,No,No,39.9,1
Urban Road,Foggy,1.6,Dry,Dark - Unlit,154.6,Medium,Car,56,6,No,No,Night,Wednesday,Urban,Straight,No Junction,No,No,No,No,2.4,1
Rural Road,Clear,3.9,Icy,Dark - Unlit,53.8,Low,Bus,65,19,No,Yes,Morning,Wednesday,Urban,Straight,T-Junction,No,No,No,No,39.2,0
Urban Road,Rainy,6.9,Dry,Dusk/Dawn,126.7,Medium,Car,19,6,No,Yes,Evening,Monday,Rural,Straight,No Junction,No,No,No,No,42.6,1
Urban Road,Clear,2.4,Wet,Dark - Unlit,100.3,Low,Car,32,16,No,Yes,Evening,Sunday,Urban,Straight,Crossroad,Yes,No,No,No,6.4,1
Highway,Clear,4.3,Wet,Daylight,24.5,Medium,Bus,39,31,No,Yes,Afternoon,Tuesday,Urban,Straight,T-Junction,No,Yes,No,No,37.0,0
